id,name,date,type,venue_name,event_location,url,city
17GOvOG65BNzwc6,Old Sea Brigade,2024-10-31,Music,Lending Rooms,Leeds,https://www.ticketweb.uk/event/old-sea-brigade-lending-room-tickets/13558274?REFERRAL_ID=tmfeed,Leeds
17GOvOG6C85v39l,The Dream Machine,2024-10-31,Music,Brudenell Social Club,Leeds,https://www.ticketweb.uk/event/the-dream-machine-brudenell-social-club-tickets/13738883?REFERRAL_ID=tmfeed,Leeds
1AwZkevGkeWKPUo,The Split Squad,2024-10-31,Music,Brudenell Social Club,Leeds,https://www.ticketweb.uk/event/the-split-squad-brudenell-social-club-tickets/13386624?REFERRAL_ID=tmfeed,Leeds
1AwZkvFGkenle0q,Chelsea Wolfe,2024-10-31,Music,Leeds Irish Centre,Leeds,https://www.ticketweb.uk/event/chelsea-wolfe-leeds-irish-centre-tickets/13509433?REFERRAL_ID=tmfeed,Leeds
G5vHZbCRxOEJh,Queen of the Night - A Tribute to Whitney Houston,2024-10-31,Music,First Direct Arena,Leeds,https://www.ticketmaster.co.uk/queen-of-the-night-a-tribute-leeds-31-10-2024/event/1F0060EBE282799B,Leeds
LvZ18_RBUKyCiyZZ-ALJi,Living Dead Festival 2024,2024-10-31,Arts & Theatre,Stylus,Leeds,https://www.universe.com/events/living-dead-festival-2024-tickets-R8ZBCX?ref=ticketmaster,Leeds
G5dzZbfRxP3-p,Projekt (Halloween),2024-10-31,Music,O2 Academy Leeds,Leeds,https://www.ticketmaster.co.uk/projekt-halloween-leeds-31-10-2024/event/3E00614BE2952856,Leeds
1kGOvO_yGACmwls,John Grant - The Art of the Lie Tour,2024-11-01,Music,Project House,Leeds,https://www.ticketweb.uk/event/john-grant-the-project-house-tickets/13628853?REFERRAL_ID=tmfeed,Leeds
1AdFZb6GkSL94Ji,Koe Wetzel,2024-11-01,Music,Brudenell Social Club,Leeds,https://www.ticketweb.uk/event/koe-wetzel-brudenell-social-club-tickets/13377114?REFERRAL_ID=tmfeed,Leeds
1AwZkvpGkd3LSPY,The Bluetones,2024-11-01,Music,Brudenell Social Club,Leeds,https://www.ticketweb.uk/event/the-bluetones-brudenell-social-club-tickets/13551233?REFERRAL_ID=tmfeed,Leeds
LvZ18_sIKH4RNJ827X79j,Fruity! | 01.11.24,2024-11-01,Music,Stylus,Leeds,https://www.universe.com/events/fruity-01-11-24-tickets-5K6LYR?ref=ticketmaster,Leeds
LvZ18_q9Esm740ZZxT3gb,DARK & WILD - Session 1,2024-11-02,Unknown,Northern Monk Refectory,Leeds,https://www.universe.com/events/dark-wild-session-1-tickets-PF2SN5?ref=ticketmaster,Leeds
LvZ18_q9c-YaxIZZm5MH7,DARK & WILD - All Sessions,2024-11-02,Unknown,Northern Monk Refectory,Leeds,https://www.universe.com/events/dark-wild-all-sessions-tickets-KCDM4S?ref=ticketmaster,Leeds
LvZ18_qMAm6Dw9YZm6mG-,DARK & WILD - All Sessions - Installment Tickets,2024-11-02,Unknown,Northern Monk Refectory,Leeds,https://www.universe.com/events/dark-wild-all-sessions-installment-tickets-tickets-RY13HS?ref=ticketmaster,Leeds
LvZ18_qMZiHXG3YZRKame,DARK & WILD - Session 1 - Installment Tickets,2024-11-02,Unknown,Northern Monk Refectory,Leeds,https://www.universe.com/events/dark-wild-session-1-installment-tickets-tickets-NGRMS5?ref=ticketmaster,Leeds
G5vHZb26vz30b,Nick Cave and The Bad Seeds,2024-11-02,Music,First Direct Arena,Leeds,https://www.ticketmaster.co.uk/nick-cave-and-the-bad-seeds-leeds-02-11-2024/event/1F0060F1C1E12918,Leeds
LvZ18_q9iq8_OvZZmVFFl,DARK & WILD - Session 2,2024-11-02,Unknown,Northern Monk Refectory,Leeds,https://www.universe.com/events/dark-wild-session-2-tickets-9F4JSW?ref=ticketmaster,Leeds
LvZ18_qM7h4b3S88uSo_Z,DARK & WILD - Session 2 - Installment Tickets,2024-11-02,Unknown,Northern Monk Refectory,Leeds,https://www.universe.com/events/dark-wild-session-2-installment-tickets-tickets-92VD68?ref=ticketmaster,Leeds
17GOvOG6uNpHP_m,"Dark Arts: Opus Kink, Acid Klaus, Bug Teeth and More",2024-11-02,Music,Leeds Belgrave Music Hall,Leeds,https://www.ticketweb.uk/event/dark-arts-opus-kink-acid-belgrave-music-hall-tickets/13715483?REFERRAL_ID=tmfeed,Leeds
1AwZkvvGketcwlf,Cloudbusting - the Music of Kate Bush,2024-11-02,Music,Brudenell Social Club,Leeds,https://www.ticketweb.uk/event/cloudbusting-the-music-brudenell-social-club-tickets/13488543?REFERRAL_ID=tmfeed,Leeds
ZxqgVMyxjZBYPJzwisVEJswJSIcnzynMZ6k1,Row C Start,2024-05-25,Unknown,AO Arena,Manchester,https://www.eticketing.co.uk/asmglobalmanchester,Manchester
16wZk7AJKZAGd18k,Defects,2024-10-31,Music,Rebellion Manchester,Manchester,https://www.ticketweb.uk/event/defects-rebellion-club-tickets/13829753?REFERRAL_ID=tmfeed,Manchester
17GOvOG6GnykfYc,Eddie Chacon,2024-10-31,Music,YES (Pink Room),Manchester,https://www.ticketweb.uk/event/eddie-chacon-yes-pink-room-tickets/13674203?REFERRAL_ID=tmfeed,Manchester
